作物名称,調査期間,病害虫名称,観測地区,成幼虫10株あたり,発生ほ場率,程度参考,発表,参照
普通期水稲,2016/09/01,トビイロウンカ,熊本県内,5.8,62.5%,,2016/08/31,H28-病防72
普通期水稲,2016/08/20,トビイロウンカ,熊本県内,1,75.0%,,2016/08/31,H28-病防72
普通期水稲,2016/08/02,トビイロウンカ,熊本県内,0.2,32.1%,,2016/08/04,H28-病防64
早植え水稲,2016/08/02,トビイロウンカ,熊本県内,0.8,40.0%,,2016/08/04,H28-病防64
普通期水稲,2016/07/20,トビイロウンカ,熊本県内,0,0.0%,,2016/08/04,H28-病防64
早植え水稲,2016/07/20,トビイロウンカ,熊本県内,0,0.0%,,2016/08/04,H28-病防64
普通期水稲,2015/09/02,トビイロウンカ,熊本県内,0.2,15.9%,,2015/09/07,H27-病防85
普通期水稲,2015/08/20,トビイロウンカ,熊本県内,0.2,10.3%,,2015/09/07,H27-病防85
普通期水稲,2015/08/01,トビイロウンカ,熊本県内,0,1.0%,,2015/09/07,H27-病防85
普通期水稲,2015/07/20,トビイロウンカ,熊本県内,0,0.0%,,2015/09/07,H27-病防85
早植え水稲,2014/09/01,トビイロウンカ,熊本県内,172.4,90.0%,,2014/09/13,H26-病防85
普通期水稲,2014/09/01,トビイロウンカ,熊本県内,10.9,70.3%,,2014/09/14,H26-病防85
早植え水稲,2014/08/20,トビイロウンカ,熊本県内,3.2,89.9%,,2014/09/11,H26-病防85
普通期水稲,2014/08/20,トビイロウンカ,熊本県内,3,38.3%,,2014/09/12,H26-病防85
早植え水稲,2014/08/01,トビイロウンカ,熊本県内,9.6,44.8%,,2014/09/09,H26-病防85
普通期水稲,2014/08/01,トビイロウンカ,熊本県内,2,30.9%,,2014/09/10,H26-病防85
早植え水稲,2014/07/20,トビイロウンカ,熊本県内,0,10.0%,,2014/09/07,H26-病防85
普通期水稲,2014/07/20,トビイロウンカ,熊本県内,0,8.5%,,2014/09/08,H26-病防85
普通期水稲,2013/09/20,トビイロウンカ,熊本県内,165.7,100.0%,,2013/09/30,H25-病防85
普通期水稲,2013/09/01,トビイロウンカ,熊本県内,19.5,98.0%,,2013/09/30,H25-病防85
早植え水稲,2013/09/01,トビイロウンカ,熊本県内,199.1,100.0%,,2014/09/05,H26-病防85
普通期水稲,2013/09/01,トビイロウンカ,熊本県内,18.9,97.5%,,2014/09/06,H26-病防85
普通期水稲,2013/08/20,トビイロウンカ,熊本県内,10.3,56.0%,,2013/09/30,H25-病防85
普通期水稲,2013/08/01,トビイロウンカ,熊本県内,4.3,17.0%,,2013/09/30,H25-病防85
普通期水稲,2013/07/20,トビイロウンカ,熊本県内,0,0.0%,,2013/09/30,H25-病防85
早植え水稲,2013/07/01,トビイロウンカ,熊本県内,1.2,N.A.,,2013/07/29,H25-病防62
早植え水稲,2013/06/20,トビイロウンカ,熊本県内,0,N.A.,,2013/07/29,H25-病防62
普通期水稲,2012/09/01,トビイロウンカ,熊本県内,4.7,57.5%,,2012/09/05,H24-病防83
早植え水稲,2012/09/01,トビイロウンカ,熊本県内,101.3,100.0%,,2012/09/05,H24-病防83
普通期水稲,2012/08/20,トビイロウンカ,熊本県内,0,32.0%,,2012/09/05,H24-病防83
早植え水稲,2012/08/20,トビイロウンカ,熊本県内,10,65.0%,,2012/09/05,H24-病防83
普通期水稲,2012/08/01,トビイロウンカ,熊本県内,1,37.0%,,2012/09/05,H24-病防83
早植え水稲,2012/08/01,トビイロウンカ,熊本県内,3,94.0%,,2012/09/05,H24-病防83
普通期水稲,2012/07/20,トビイロウンカ,熊本県内,0,5.0%,,2012/09/05,H24-病防83
早植え水稲,2012/07/20,トビイロウンカ,熊本県内,0,0.0%,,2012/09/05,H24-病防83
早植え水稲,2011/07/20,トビイロウンカ,熊本県内,0,0.0%,,2011/07/29,H23-病防49
普通期水稲,2011/07/20,トビイロウンカ,熊本県内,0,0.0%,,2011/07/29,H23-病防49
早植え水稲,2011/06/01,トビイロウンカ,熊本県内,0,0.0%,,2011/07/29,H23-病防49
普通期水稲,2011/06/01,トビイロウンカ,熊本県内,0,0.0%,,2011/07/29,H23-病防49
普通期水稲,2010/09/01,トビイロウンカ,熊本県内,17.2,85.3%,,2010/09/06,h22-病防69
普通期水稲,2010/08/20,トビイロウンカ,熊本県内,1,50.1%,,2010/09/01,h22-病防64
普通期水稲,2010/08/01,トビイロウンカ,熊本県内,1,71.4%,,2010/07/30,h22-病防46
普通期水稲,2010/07/20,トビイロウンカ,熊本県内,0.2,4.4%,,2010/07/30,h22-病防46
早植え水稲,2010/06/01,トビイロウンカ,熊本県内,0,0.0%,,2010/06/29,h22-病防34
普通期水稲,2010/06/01,トビイロウンカ,熊本県内,0,0.0%,,2010/06/29,h22-病防34
普通期水稲,2009/09/01,トビイロウンカ,熊本県内,30.7,91.0%,,2012/09/05,H24-病防83
早植え水稲,2009/09/01,トビイロウンカ,熊本県内,36.1,100.0%,県内坪枯れ,2012/09/05,H24-病防83
普通期水稲,2007/09/01,トビイロウンカ,熊本県内,78.3,92.0%,,2012/09/05,H24-病防83
早植え水稲,2007/09/01,トビイロウンカ,熊本県内,41.2,100.0%,県内坪枯れ,2012/09/05,H24-病防83
